City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2022-03-22 04:41:40,69.4541,-133.0374,-14.8,76,75,0.0
68,Tura,IN,2022-03-22 04:41:40,25.5198,90.2201,91.51,25,8,4.54
69,Brasileia,BR,2022-03-22 04:41:41,-11.0161,-68.7481,72.12,99,100,0.56
70,Saskylakh,RU,2022-03-22 04:41:41,71.9167,114.0833,5.05,92,100,6.67
71,Vostok,RU,2022-03-22 04:41:42,46.4856,135.8833,26.51,74,96,13.35
72,Ilulissat,GL,2022-03-22 04:41:42,69.2167,-51.1,-0.38,46,46,4.61
73,Codrington,AU,2022-03-22 04:41:42,-38.2667,141.9667,63.45,76,99,12.17
74,Kruisfontein,ZA,2022-03-22 04:41:43,-34.0033,24.7314,64.8,79,0,2.01
75,Roma,US,2022-03-22 04:41:43,43.2128,-75.4557,37.09,62,0,11.99
76,Padang,ID,2022-03-22 04:41:44,-0.9492,100.3543,87.85,62,75,5.39
77,Buala,SB,2022-03-22 04:41:44,-8.145,159.5921,85.14,66,74,3.8
78,Saint-Louis,SN,2022-03-22 04:41:45,16.3333,-15.0,71.47,34,4,9.37
79,Jiaonan,CN,2022-03-22 04:41:45,35.8786,119.9753,48.51,42,96,9.35
80,Kungurtug,RU,2022-03-22 04:41:45,50.5994,97.5228,19.49,70,65,1.68
81,Tomatlan,MX,2022-03-22 04:41:46,19.9333,-105.25,63.54,63,15,3.24
82,Machacamarca,BO,2022-03-22 04:41:46,-18.1667,-67.0333,50.02,74,41,3.6
83,Hobyo,SO,2022-03-22 04:41:47,5.3505,48.5268,80.22,70,10,8.21
84,Terre-De-Bas,GP,2022-03-22 04:41:47,15.8501,-61.6442,71.11,78,14,18.21
85,Castro,BR,2022-03-22 04:41:48,-24.7911,-50.0119,58.08,92,87,11.5
86,Touros,BR,2022-03-22 04:41:48,-5.1989,-35.4608,77.13,88,99,6.02
87,Constitucion,CL,2022-03-22 04:41:48,-35.3333,-72.4167,55.74,74,0,8.25
88,Khani,GE,2022-03-22 04:42:49,41.9563,42.9566,29.77,82,83,0.74
89,Plettenberg Bay,ZA,2022-03-22 04:42:49,-34.0527,23.3716,66.0,91,2,1.36
90,Sena Madureira,BR,2022-03-22 04:42:50,-9.0656,-68.6569,72.18,99,91,1.45
91,Bereda,ES,2022-03-22 04:42:50,43.2686,-7.5406,49.57,100,62,1.45
92,Sisimiut,GL,2022-03-22 04:42:51,66.9395,-53.6735,-1.97,71,54,1.95
93,Omboue,GA,2022-03-22 04:42:51,-1.5746,9.2618,78.1,86,99,4.81
94,Norman Wells,CA,2022-03-22 04:42:51,65.282,-126.8329,-2.16,65,40,4.61
95,Luderitz,NA,2022-03-22 04:42:52,-26.6481,15.1594,68.61,74,21,15.21
96,Cidreira,BR,2022-03-22 04:42:52,-30.1811,-50.2056,69.22,76,39,19.1
97,Kazanskoye,RU,2022-03-22 04:42:53,55.6448,69.235,23.2,94,99,6.04
98,Tuy Hoa,VN,2022-03-22 04:42:53,13.0833,109.3,86.56,65,100,8.12
99,East London,ZA,2022-03-22 04:39:53,-33.0153,27.9116,68.94,88,0,6.91
100,San Patricio,US,2022-03-22 04:42:54,28.017,-97.5169,74.89,84,61,14.99
101,Olafsvik,IS,2022-03-22 04:42:54,64.8945,-23.7142,35.98,96,100,24.49
102,Nouadhibou,MR,2022-03-22 04:42:54,20.931,-17.0347,61.63,82,0,22.73
103,Muisne,EC,2022-03-22 04:42:55,0.6,-80.0333,77.47,90,100,7.0
104,Mataura,NZ,2022-03-22 04:42:55,-46.1927,168.8643,71.51,59,97,5.66
105,Cape Town,ZA,2022-03-22 04:42:54,-33.9258,18.4232,68.41,81,0,14.97
106,Yar-Sale,RU,2022-03-22 04:42:56,66.8333,70.8333,3.0,98,100,11.59
107,Fortuna,US,2022-03-22 04:42:56,40.5982,-124.1573,51.93,92,100,6.91
108,Tenancingo,MX,2022-03-22 04:42:57,19.1472,-98.1806,61.77,37,0,4.63
109,Narsaq,GL,2022-03-22 04:42:57,60.9167,-46.05,12.42,62,30,7.94
