City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Merauke,ID,-8.4667,140.3333,86.27,66,100,12.37,overcast clouds
80,Atar,MR,20.5169,-13.0499,66.96,19,10,5.41,clear sky
81,Srednekolymsk,RU,67.45,153.6833,11.55,81,100,15.52,overcast clouds
82,Lagoa,PT,39.05,-27.9833,59.09,87,62,17.81,broken clouds
83,Colares,PT,38.7992,-9.4469,57.29,72,59,8.01,broken clouds
84,Nikolskoye,RU,59.7035,30.7861,25.88,77,100,15.35,overcast clouds
85,Borogontsy,RU,62.6683,131.1683,23.65,77,100,3.98,overcast clouds
86,Inhambane,MZ,-23.865,35.3833,71.98,88,89,6.73,overcast clouds
87,Jamestown,US,42.097,-79.2353,30.02,71,100,10.36,light snow
88,Houma,US,29.5958,-90.7195,62.01,81,0,3.0,clear sky
89,Bethel,US,41.3712,-73.414,41.36,90,100,5.68,light rain
90,Hualmay,PE,-11.0964,-77.6139,70.36,81,98,7.78,overcast clouds
91,Tabuk,PH,17.4189,121.4443,89.1,56,7,4.97,clear sky
92,Narsaq,GL,60.9167,-46.05,21.42,72,53,4.99,broken clouds
93,Mount Gambier,AU,-37.8333,140.7667,85.91,23,79,17.27,broken clouds
94,Babu,CN,24.4167,111.5167,57.72,82,100,8.97,overcast clouds
95,Altyn-Topkan,TJ,40.6528,69.5998,37.87,50,16,8.95,few clouds
96,Lingao,CN,19.9103,109.6859,79.18,77,64,13.73,broken clouds
97,Cartagena Del Chaira,CO,1.3349,-74.8429,72.48,99,100,1.07,overcast clouds
98,Banyo,CM,6.75,11.8167,65.62,30,35,1.43,scattered clouds
99,Devils Lake,US,48.1128,-98.8651,12.94,66,99,4.0,overcast clouds
100,Bogalusa,US,30.791,-89.8487,63.75,79,0,2.28,clear sky
101,Flinders,AU,-34.5833,150.8552,73.06,81,99,5.84,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,61.2,86,7,10.11,clear sky
103,Birao,CF,10.2849,22.7882,70.95,12,73,11.05,broken clouds
104,Akdepe,TM,42.0551,59.3788,42.91,64,26,10.89,scattered clouds
105,Middle Island,US,40.8843,-72.9373,44.89,77,0,10.36,clear sky
106,Lichtenfels,DE,50.1457,11.0593,47.41,76,6,1.99,clear sky
107,Souillac,MU,-20.5167,57.5167,79.18,94,40,1.14,scattered clouds
108,College,US,64.8569,-147.8028,32.47,69,100,0.04,overcast clouds
109,Papara,BR,-3.9839,-38.7273,75.6,98,99,3.29,overcast clouds
110,Tamandare,BR,-8.7597,-35.1047,76.96,86,57,2.73,broken clouds
111,Klaksvik,FO,62.2266,-6.589,45.52,69,100,26.06,overcast clouds
112,Thompson,CA,55.7435,-97.8558,-11.29,95,22,5.1,few clouds
113,Buraydah,SA,26.326,43.975,53.15,30,0,9.53,clear sky
114,Airai,TL,-8.9266,125.4092,71.94,70,54,1.88,broken clouds
115,Katsuura,JP,35.1333,140.3,59.11,83,93,21.12,overcast clouds
116,Eureka,US,40.8021,-124.1637,54.93,82,100,2.51,overcast clouds
117,Barranca,PE,-10.75,-77.7667,70.11,79,82,5.77,broken clouds
118,San Cristobal,VE,7.7669,-72.225,66.83,92,100,1.66,overcast clouds
119,Dikson,RU,73.5069,80.5464,-6.81,97,83,12.3,broken clouds
120,Ilulissat,GL,69.2167,-51.1,15.82,57,100,3.44,overcast clouds
121,Lakeway,US,30.3638,-97.9796,73.36,41,0,8.99,clear sky
122,Tuktoyaktuk,CA,69.4541,-133.0374,-12.46,92,6,8.79,clear sky
123,Zalakomar,HU,46.538,17.1809,39.18,65,3,4.61,clear sky
124,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.79,76,50,9.53,scattered clouds
125,Port Elizabeth,ZA,-33.918,25.5701,61.32,96,5,4.45,clear sky
126,Khani,GE,41.9563,42.9566,26.17,89,45,5.53,scattered clouds
127,Pevek,RU,69.7008,170.3133,4.91,93,100,5.19,overcast clouds
128,Sfantu Gheorghe,RO,45.8667,25.7833,46.81,74,49,7.11,scattered clouds
